name,event_label,win_probability,tournament,dk_odds,best_odds,best_book,avg_novig_prob,model_prob,edge_pp,half_kelly_pct
Carlos Ortiz,masters,0.00012640361719536413,Masters Tournament Winner,15000.0,20000.0,espnbet,0.0038279581143142085,0.00012640361719536413,-0.37015544971188447,0.0
Taylor Pendrith,us_open,0.0017512710677240165,US Open Winner,14000.0,15000.0,betonlineag,0.005485268503055389,0.0017512710677240165,-0.3733997435331372,0.0
Adam Scott,us_open,0.0034317355136951797,US Open Winner,10000.0,10000.0,betonlineag,0.007226206809619747,0.0034317355136951797,-0.37944712959245674,0.0
Billy Horschel,masters,0.00016912755817780572,Masters Tournament Winner,,25000.0,espnbet,0.003972849991261315,0.00016912755817780572,-0.3803722433083509,0.0
Billy Horschel,open,0.0001663800794485893,The Open Winner,,15000.0,espnbet,0.004153249448940367,0.0001663800794485893,-0.3986869369491778,0.0
Akshay Bhatia,open,0.002357123005478811,The Open Winner,20000.0,20000.0,draftkings,0.0063637844330747765,0.002357123005478811,-0.40066614275959656,0.0
Harry Hall,masters,0.0010851592082050492,Masters Tournament Winner,13000.0,13000.0,draftkings,0.005196062528611917,0.0010851592082050492,-0.4110903320406868,0.0
Aaron Rai,masters,0.000656700144410718,Masters Tournament Winner,13000.0,15000.0,espnbet,0.00481196806968811,0.000656700144410718,-0.41552679252773916,0.0
Ryan Fox,us_open,0.0012687118987836027,US Open Winner,,20000.0,betonlineag,0.005448285953500394,0.0012687118987836027,-0.4179574054716791,0.0
Carlos Ortiz,open,0.00024615362951167145,The Open Winner,20000.0,20000.0,draftkings,0.00446259784491424,0.00024615362951167145,-0.4216444215402568,0.0
Haotong Li,open,0.0007741476594779113,The Open Winner,,15000.0,lowvig,0.005096123473345122,0.0007741476594779113,-0.43219758138672104,0.0
Aaron Rai,us_open,0.0003673872375491964,US Open Winner,15000.0,17500.0,betonlineag,0.004700266844540109,0.0003673872375491964,-0.4332879606990912,0.0
Michael Brennan,pga_champ,0.0018154873973893115,PGA Championship Winner,,10000.0,espnbet,0.006166787913818188,0.0018154873973893115,-0.4351300516428876,0.0
Michael Brennan,us_open,0.001733953254313197,US Open Winner,,10000.0,espnbet,0.006129086573579991,0.001733953254313197,-0.4395133319266794,0.0
Justin Rose,pga_champ,0.012744456974808483,PGA Championship Winner,4500.0,4500.0,betmgm,0.017144265147469008,0.012744456974808483,-0.4399808172660525,0.0
Hideki Matsuyama,us_open,0.011570935550731768,US Open Winner,5000.0,5000.0,betmgm,0.016047921480685682,0.011570935550731768,-0.44769859299539133,0.0
Rickie Fowler,us_open,0.0004069904845907261,US Open Winner,20000.0,20000.0,draftkings,0.004929191527497718,0.0004069904845907261,-0.45222010429069914,0.0
Si Woo Kim,us_open,0.005203919214684964,US Open Winner,8000.0,12500.0,fanduel,0.009957010031084023,0.005203919214684964,-0.47530908163990593,0.0
Tom McKibbin,open,0.00010528251361047502,The Open Winner,,17500.0,lowvig,0.0049630309106340285,0.00010528251361047502,-0.4857748397023553,0.0
Sepp Straka,open,0.00734320623921998,The Open Winner,5000.0,5500.0,lowvig,0.01220983494017112,0.00734320623921998,-0.48666287009511405,0.0
Daniel Berger,us_open,0.000942099089349456,US Open Winner,10000.0,15000.0,betonlineag,0.005835090615173217,0.000942099089349456,-0.48929915258237616,0.0
Adam Scott,open,0.00234912785085428,The Open Winner,10000.0,12500.0,fanduel,0.0072622476627686155,0.00234912785085428,-0.4913119811914335,0.0
Rickie Fowler,open,0.0007145810262733816,The Open Winner,15000.0,15000.0,lowvig,0.005635451282366394,0.0007145810262733816,-0.49208702560930123,0.0
David Puig,pga_champ,0.00013844057157139358,PGA Championship Winner,10000.0,15000.0,betmgm,0.005069854956480868,0.00013844057157139358,-0.49314143849094744,0.0
Aaron Rai,pga_champ,0.0006537603964308479,PGA Championship Winner,13000.0,13000.0,draftkings,0.005596696965240001,0.0006537603964308479,-0.49429365688091526,0.0
Sahith Theegala,masters,0.0018976505852490735,Masters Tournament Winner,8000.0,10000.0,espnbet,0.006847451754832114,0.0018976505852490735,-0.4949801169583041,0.0
Tom McKibbin,masters,0.00011498233743910417,Masters Tournament Winner,14000.0,20000.0,espnbet,0.0051672579447477,0.00011498233743910417,-0.5052275607308596,0.0
Ryan Fox,open,0.0017356548930900907,The Open Winner,10000.0,12500.0,lowvig,0.006941788672971123,0.0017356548930900907,-0.5206133779881033,0.0
Hideki Matsuyama,open,0.008477419871369055,The Open Winner,5000.0,5000.0,betrivers,0.013759851743021483,0.008477419871369055,-0.5282431871652428,0.0
Brian Harman,open,0.0020679607686575653,The Open Winner,10000.0,12500.0,lowvig,0.007490411174843435,0.0020679607686575653,-0.5422450406185869,0.0
Carlos Ortiz,us_open,0.00015940147973838095,US Open Winner,,16500.0,betonlineag,0.005609406916301883,0.00015940147973838095,-0.5450005436563502,0.0
David Puig,open,0.00015882401270176651,The Open Winner,,12500.0,lowvig,0.005635370597176642,0.00015882401270176651,-0.5476546584474875,0.0
Akshay Bhatia,pga_champ,0.0014992202137042961,PGA Championship Winner,12000.0,12000.0,draftkings,0.0070311814251145625,0.0014992202137042961,-0.5531961211410266,0.0
Tony Finau,open,0.0010118766191651695,The Open Winner,12500.0,15000.0,lowvig,0.00655860144818326,0.0010118766191651695,-0.554672482901809,0.0
Akshay Bhatia,us_open,0.0010352607287328584,US Open Winner,12000.0,12500.0,espnbet,0.006688233581304858,0.0010352607287328584,-0.5652972852571999,0.0
Cameron Young,open,0.008961241252683102,The Open Winner,5000.0,6600.0,betmgm,0.014695365041138964,0.008961241252683102,-0.5734123788455862,0.0
Jason Day,open,0.0012594008060054875,The Open Winner,10000.0,12500.0,lowvig,0.007096695672993564,0.0012594008060054875,-0.5837294866988076,0.0
Sepp Straka,us_open,0.006578103842797376,US Open Winner,9000.0,9000.0,draftkings,0.012493395543001119,0.006578103842797376,-0.5915291700203743,0.0
Tony Finau,masters,0.0008909898889095534,Masters Tournament Winner,10000.0,15000.0,espnbet,0.006808473785891801,0.0008909898889095534,-0.5917483896982247,0.0
Aaron Rai,open,0.0005665229053268382,The Open Winner,12500.0,12500.0,lowvig,0.006540781373414364,0.0005665229053268382,-0.5974258468087525,0.0
Daniel Berger,pga_champ,0.0013645929608185462,PGA Championship Winner,8000.0,12500.0,lowvig,0.0073414303141439465,0.0013645929608185462,-0.59768373533254,0.0
Max Homa,pga_champ,0.0014123982902786872,PGA Championship Winner,9000.0,10000.0,espnbet,0.007394707491723519,0.0014123982902786872,-0.5982309201444832,0.0
David Puig,us_open,0.00016050396186244453,US Open Winner,10000.0,10000.0,draftkings,0.00622560704541782,0.00016050396186244453,-0.6065103083555375,0.0
Jason Day,us_open,0.0010814640771705487,US Open Winner,10000.0,10000.0,betonlineag,0.007323706209881938,0.0010814640771705487,-0.624224213271139,0.0
Max Homa,masters,0.0023072886861321743,Masters Tournament Winner,6500.0,8000.0,betrivers,0.008564279535388976,0.0023072886861321743,-0.62569908492568,0.0
Tony Finau,us_open,0.0005022912870944057,US Open Winner,9000.0,15000.0,betonlineag,0.0068429998804685034,0.0005022912870944057,-0.6340708593374098,0.0
Wyndham Clark,us_open,0.0006024161037434723,US Open Winner,9000.0,13500.0,betonlineag,0.007147672607802824,0.0006024161037434723,-0.6545256504059351,0.0
Marco Penge,us_open,0.00010840373492810471,US Open Winner,,12500.0,betonlineag,0.00667011910263677,0.00010840373492810471,-0.6561715367708666,0.0
Tony Finau,pga_champ,0.0008810006973498751,PGA Championship Winner,8000.0,15000.0,lowvig,0.0074816084132317655,0.0008810006973498751,-0.6600607715881891,0.0
Jason Day,pga_champ,0.0018743931330477421,PGA Championship Winner,8000.0,8000.0,bovada,0.008509488657239763,0.0018743931330477421,-0.6635095524192021,0.0
Marco Penge,masters,8.673898830905113e-05,Masters Tournament Winner,11000.0,15000.0,espnbet,0.00675027224911447,8.673898830905113e-05,-0.6663533260805419,0.0
Will Zalatoris,masters,0.004111848824615548,Masters Tournament Winner,5500.0,7500.0,espnbet,0.010787633991786755,0.004111848824615548,-0.6675785167171207,0.0
Wyndham Clark,open,0.0004889857715117784,The Open Winner,10000.0,13500.0,lowvig,0.007303693120350791,0.0004889857715117784,-0.6814707348839013,0.0
