name,event_label,win_probability,tournament,dk_odds,best_odds,best_book,avg_novig_prob,model_prob,edge_pp,half_kelly_pct
Rory McIlroy,masters,0.08155045750354764,,,,,,0.08155045750354764,,
Russell Henley,masters,0.058096679535652444,,,,,,0.058096679535652444,,
Collin Morikawa,masters,0.05086649980885656,,,,,,0.05086649980885656,,
Viktor Hovland,masters,0.04693857815895083,,,,,,0.04693857815895083,,
Patrick Cantlay,masters,0.04333649808868095,,,,,,0.04333649808868095,,
Ben Griffin,masters,0.042816768817947284,,,,,,0.042816768817947284,,
Tommy Fleetwood,masters,0.042620456975985634,,,,,,0.042620456975985634,,
Scottie Scheffler,masters,0.04162965820732252,,,,,,0.04162965820732252,,
Justin Thomas,masters,0.038513776781317254,,,,,,0.038513776781317254,,
Bryson DeChambeau,masters,0.022004342608132037,,,,,,0.022004342608132037,,
Kurt Kitayama,masters,0.020811679290260583,,,,,,0.020811679290260583,,
Xander Schauffele,masters,0.02064431407100167,,,,,,0.02064431407100167,,
Harris English,masters,0.018902514543885692,,,,,,0.018902514543885692,,
Min Woo Lee,masters,0.01616709796781168,,,,,,0.01616709796781168,,
Alex Noren,masters,0.015630945164466982,,,,,,0.015630945164466982,,
Maverick McNealy,masters,0.015141904420290708,,,,,,0.015141904420290708,,
Matt McCarty,masters,0.014622185641325402,,,,,,0.014622185641325402,,
Shane Lowry,masters,0.014326137509542584,,,,,,0.014326137509542584,,
Keegan Bradley,masters,0.01270524505594018,,,,,,0.01270524505594018,,
Niklas Norgaard,masters,0.01257396100830276,,,,,,0.01257396100830276,,
Justin Rose,masters,0.01231543359029539,,,,,,0.01231543359029539,,
Hideki Matsuyama,masters,0.012034651178426626,,,,,,0.012034651178426626,,
Pierceson Coody,masters,0.011795224697520625,,,,,,0.011795224697520625,,
Max Greyserman,masters,0.010830885551587508,,,,,,0.010830885551587508,,
Victor Perez,masters,0.010494025248957208,,,,,,0.010494025248957208,,
Alex Smalley,masters,0.01028264656949779,,,,,,0.01028264656949779,,
Paul Casey,masters,0.009594846357799698,,,,,,0.009594846357799698,,
Cameron Young,masters,0.008561153361058943,,,,,,0.008561153361058943,,
Max McGreevy,masters,0.008302250755430975,,,,,,0.008302250755430975,,
Scott Stallings,masters,0.008094482638922859,,,,,,0.008094482638922859,,
Robert MacIntyre,masters,0.007862362990662322,,,,,,0.007862362990662322,,
David Lipsky,masters,0.007692959294465929,,,,,,0.007692959294465929,,
Cameron Tringale,masters,0.0075224551776242295,,,,,,0.0075224551776242295,,
Michael Thorbjornsen,masters,0.007512719221768591,,,,,,0.007512719221768591,,
Tyrrell Hatton,masters,0.007433083211265242,,,,,,0.007433083211265242,,
Jesper Svensson,masters,0.007245551889138182,,,,,,0.007245551889138182,,
Matt Kuchar,masters,0.006919302627948991,,,,,,0.006919302627948991,,
Thriston Lawrence,masters,0.006563549496514689,,,,,,0.006563549496514689,,
Kevin Roy,masters,0.006474497986677864,,,,,,0.006474497986677864,,
Si Woo Kim,masters,0.006413638024175387,,,,,,0.006413638024175387,,
Matt Wallace,masters,0.006358191313613002,,,,,,0.006358191313613002,,
Sam Burns,masters,0.0062746800040465196,,,,,,0.0062746800040465196,,
Steven Fisk,masters,0.005928285233077513,,,,,,0.005928285233077513,,
Nick Taylor,masters,0.005721751858331858,,,,,,0.005721751858331858,,
Sepp Straka,masters,0.005691207773918485,,,,,,0.005691207773918485,,
Sungjae Im,masters,0.00560375629305531,,,,,,0.00560375629305531,,
Chandler Phillips,masters,0.005441110718138088,,,,,,0.005441110718138088,,
Beau Hossler,masters,0.005307490994391091,,,,,,0.005307490994391091,,
Patrick Rodgers,masters,0.0049538147638245374,,,,,,0.0049538147638245374,,
Tom Hoge,masters,0.004413437416564129,,,,,,0.004413437416564129,,
Ryan Gerard,masters,0.004018727893415263,,,,,,0.004018727893415263,,
Christiaan Bezuidenhout,masters,0.003931284377055625,,,,,,0.003931284377055625,,
Adam Scott,masters,0.003909008185978073,,,,,,0.003909008185978073,,
Ryo Hisatsune,masters,0.0037710750439918037,,,,,,0.0037710750439918037,,
Will Zalatoris,masters,0.0036596391823890966,,,,,,0.0036596391823890966,,
Takumi Kanaya,masters,0.003585176417529845,,,,,,0.003585176417529845,,
Chris Gotterup,masters,0.003161148131181144,,,,,,0.003161148131181144,,
Kristoffer Reitan,masters,0.0031441576932401184,,,,,,0.0031441576932401184,,
William Mouw,masters,0.0031242059681693833,,,,,,0.0031242059681693833,,
David Lingmerth,masters,0.003072731665791391,,,,,,0.003072731665791391,,
Jacob Bridgeman,masters,0.0029438756387825137,,,,,,0.0029438756387825137,,
Emiliano Grillo,masters,0.002915987298675111,,,,,,0.002915987298675111,,
Matti Schmid,masters,0.0028530159285641878,,,,,,0.0028530159285641878,,
Max Homa,masters,0.002726261013662031,,,,,,0.002726261013662031,,
Denny McCarthy,masters,0.002592829194113869,,,,,,0.002592829194113869,,
Harry Hall,masters,0.0025439831327784355,,,,,,0.0025439831327784355,,
Andrew Novak,masters,0.002511147036985622,,,,,,0.002511147036985622,,
Matt Jones,masters,0.0024702174836852323,,,,,,0.0024702174836852323,,
Tom Kim,masters,0.0023576795012890087,,,,,,0.0023576795012890087,,
Jason Day,masters,0.002344123484379382,,,,,,0.002344123484379382,,
Patrick Fishburn,masters,0.002232322350929113,,,,,,0.002232322350929113,,
Patrick Reed,masters,0.0021947180168485686,,,,,,0.0021947180168485686,,
Keith Mitchell,masters,0.002107865290867951,,,,,,0.002107865290867951,,
Stephan Jaeger,masters,0.001929752446188474,,,,,,0.001929752446188474,,
Sahith Theegala,masters,0.0019192814478244226,,,,,,0.0019192814478244226,,
Mackenzie Hughes,masters,0.0019076796193465465,,,,,,0.0019076796193465465,,
Chris Kirk,masters,0.0018964399658797392,,,,,,0.0018964399658797392,,
Harold Varner III,masters,0.001864437971560634,,,,,,0.001864437971560634,,
Michael Brennan,masters,0.001857001175143563,,,,,,0.001857001175143563,,
Bud Cauley,masters,0.001843151851613249,,,,,,0.001843151851613249,,
Brian Harman,masters,0.0018385900972482025,,,,,,0.0018385900972482025,,
Jordan Smith,masters,0.0017699438952565743,,,,,,0.0017699438952565743,,
