feature,importance
owgr_points_current,0.05574339
prior_avg_score,0.03422214
prior_top10_rate_10,0.028660644
field_strength,0.028277129
prior_avg_score_10,0.027433587
played_last_30d,0.024605913
sg_total_season,0.024597373
owgr_rank_52w_ago,0.024512103
driving_distance_season,0.024375407
owgr_rank_12w_ago,0.023849351
purse_tier,0.022505224
birdie_avg_prev_season,0.021823727
owgr_data_staleness_days,0.02114039
tournaments_last_365d,0.02111225
sg_total_prev_season,0.02027919
sg_off_tee_season,0.020115396
owgr_rank_current,0.019789495
sg_around_green_season,0.019590134
owgr_rank_change_52w,0.01954744
sg_putting_season,0.019308608
sg_putting_prev_season,0.019113066
prior_std_score_10,0.018925738
owgr_rank_change_12w,0.018135577
last_event_rank,0.01809805
last_event_score,0.01787031
driving_distance_prev_season,0.017765388
scrambling_pct_prev_season,0.01765084
owgr_rank_change_4w,0.017416421
season_to_date_avg_score,0.017098982
sg_approach_season,0.017004086
temperature_avg,0.016895058
wind_speed_avg,0.016811904
sg_approach_prev_season,0.016745117
days_since_last_event,0.0165209
owgr_rank_4w_ago,0.016108053
course_history_avg_score,0.016061995
prior_std_score_5,0.015844949
prior_std_score,0.015826507
career_best_rank,0.015815202
prior_avg_score_5,0.015179305
is_major,0.015116567
prior_top10_rate_5,0.015097169
prior_count,0.014981099
course_type_enc,0.014497255
field_size,0.013865871
grass_type_enc,0.013663598
gir_pct_prev_season,0.013086336
precipitation_sum,0.012972131
sg_off_tee_prev_season,0.012570883
sg_around_green_prev_season,0.011599793
gir_pct_season,0.0113300355
is_playoff,0.008843022
